time_stamp_millis,heart_rate,confidence,oxygen,status,temperature,RawIR,RawRed
84658,92,96,97,3,32.1,235872,248579
84678,92,96,97,3,33.1,235872,248579
84698,92,96,97,3,33.1,235872,248579
84718,92,96,97,3,33.1,235872,248579
84738,92,96,97,3,33.1,235872,248579
84758,92,96,97,3,33.1,235872,248579
84778,92,96,97,3,32.1,235872,248579
84798,92,96,97,3,32.1,235872,248579
84818,92,96,97,3,32.1,235872,248579
84838,92,96,97,3,32.1,235872,248579
84858,92,96,97,3,32.1,235872,248579
84878,92,96,97,3,33.1,235872,248579
84898,92,96,97,3,33.1,235872,248579
84918,92,96,97,3,33.1,235872,248579
84938,92,96,97,3,33.1,235872,248579
84958,92,96,97,3,33.1,235872,248579
84978,92,96,97,3,33.1,235872,248579
84998,92,96,97,3,33.1,235872,248579
85018,92,96,97,3,33.1,235872,248579
85038,92,96,97,3,33.1,235872,248579
85063,92,96,97,3,32.1,235872,248579
85092,15,95,97,3,32.1,235615,248579
85112,92,95,97,3,32.1,235615,248579
85132,92,95,97,3,32.1,235615,248579
85152,92,95,97,3,32.1,235615,248579
85172,92,95,97,3,32.1,235615,248579
85192,92,95,97,3,32.1,235615,248579
85212,15,95,97,3,33.1,235615,248579
85232,92,95,97,3,32.1,235615,248579
85252,92,95,97,3,33.1,235615,248579
85272,92,95,97,3,33.1,235615,248579
85292,92,95,97,3,32.1,235615,248579
85312,92,95,97,3,32.1,235615,248579
85332,92,95,97,3,33.1,235615,248579
85352,92,95,97,3,33.1,235615,248579
85372,92,95,97,3,32.1,235615,248579
85392,92,95,97,3,33.1,235615,248579
85412,92,95,97,3,32.1,235615,248579
85432,92,95,97,3,33.1,235615,248579
85452,92,95,97,3,32.1,235615,248579
85472,92,95,97,3,32.1,235615,248579
85492,92,95,97,3,33.1,235615,248579
85512,92,95,97,3,33.1,235615,248579
85532,92,95,97,3,33.1,235615,248579
85552,92,95,97,3,33.1,235615,248579
85572,92,95,97,3,33.1,235615,248579
85592,92,95,97,3,32.1,235615,248579
85612,92,95,97,3,33.1,235615,248579
85632,92,95,97,3,32.1,235615,248579
85652,92,95,97,3,33.1,235615,248579
85672,92,95,97,3,32.1,235615,248579
85692,92,95,97,3,33.1,235615,248579
85712,92,95,97,3,32.1,235615,248579
85732,92,95,97,3,32.1,235615,248579
85752,92,95,97,3,33.1,235615,248579
85772,92,95,97,3,32.1,235615,248579
85792,92,95,97,3,32.1,235615,248579
85812,92,95,97,3,33.1,235615,248579
85832,92,95,97,3,32.1,235615,248579
85852,92,95,97,3,33.1,235615,248579
85872,92,95,97,3,33.1,235615,248579
85892,92,95,97,3,33.1,235615,248579
85912,92,95,97,3,33.1,235615,248579
85932,92,95,97,3,33.1,235615,248579
85952,92,95,97,3,33.1,235615,248579
85972,92,95,97,3,32.1,235615,248579
85992,92,95,97,3,32.1,235615,248579
86012,92,95,97,3,32.1,235615,248579
86032,92,95,97,3,33.1,235615,248579
86052,92,95,97,3,32.1,235615,248579
86072,92,95,97,3,32.1,235615,248579
86092,92,95,97,3,33.1,235615,248579
86112,92,95,97,3,32.1,235615,248579
86132,92,95,97,3,32.1,235615,248579
86152,92,95,97,3,33.1,235615,248579
86172,92,95,97,3,33.1,235615,248579
86192,92,95,97,3,33.1,235615,248579
86212,92,95,97,3,32.1,235615,248579
86232,92,95,97,3,33.1,235615,248579
86252,92,95,97,3,32.1,235615,248579
86272,92,95,97,3,33.1,235615,248579
86292,92,95,97,3,33.1,235615,248579
86312,92,95,97,3,33.1,235615,248579
86332,92,95,97,3,33.1,235615,248579
86352,92,95,97,3,33.1,235615,248579
86372,92,95,97,3,32.1,235615,248579
86392,92,95,97,3,32.1,235615,248579
86412,92,95,97,3,33.1,235615,248579
86432,92,95,97,3,32.1,235615,248579
86452,92,95,97,3,33.1,235615,248579
86472,92,95,97,3,33.1,235615,248579
86492,92,95,97,3,33.1,235615,248579
86512,92,95,97,3,33.1,235615,248579
86532,92,95,97,3,33.1,235615,248579
86552,92,95,97,3,33.1,235615,248579
86572,92,95,97,3,32.1,235615,248579
86597,92,95,97,3,32.1,235615,248579
86617,92,95,97,3,33.1,235615,248579
86637,92,95,97,3,33.1,235615,248579
86657,92,95,97,3,33.1,235615,248579
86677,92,95,97,3,33.1,235615,248579
86697,92,95,97,3,33.1,235615,248579
86717,92,95,97,3,33.1,235615,248579
86737,92,95,97,3,33.1,235615,248579
86757,92,95,97,3,32.1,235615,248579
86777,0,0,97,3,33.1,0,248579
86802,0,0,97,3,33.1,0,248579
86831,0,0,97,3,33.1,0,248579
86851,0,0,97,3,33.1,0,248579
86871,0,0,97,3,33.1,0,248579
86891,0,0,97,3,33.1,0,248579
86911,0,0,97,3,33.1,0,248579
86931,0,0,97,3,33.1,0,248579
86951,0,0,97,3,33.1,0,248579
86971,0,0,97,3,33.1,0,248579
86991,0,0,97,3,33.1,0,248579
87011,0,0,97,3,33.1,0,248579
87031,0,0,97,3,33.1,0,248579
87051,0,0,97,3,33.1,0,248579
87071,0,0,97,3,33.1,0,248579
87091,0,0,97,3,33.1,0,248579
87111,0,0,97,3,33.1,0,248579
87131,0,0,97,3,33.1,0,248579
87151,0,0,97,3,33.1,0,248579
87171,0,0,97,3,33.1,0,248579
87191,0,0,97,3,33.1,0,248579
87211,0,0,97,3,33.1,0,248579
87231,0,0,97,3,33.1,0,248579
87251,0,0,97,3,33.1,0,248579
87271,0,0,97,3,33.1,0,248579
87291,0,0,97,3,33.1,0,248579
87311,0,0,97,3,33.1,0,248579
87331,0,0,97,3,33.1,0,248579
87351,0,0,97,3,33.1,0,248579
